,question,answer
0,在2021-01-01 00:00:00，设备1发生了什么故障？,设备1在2021-01-01 00:00:00发生了网络中断故障。
1,在2021-01-01 01:00:00，设备7发生了什么故障？,设备7在2021-01-01 01:00:00发生了硬件故障故障。
2,在2021-01-01 02:00:00，设备16发生了什么故障？,设备16在2021-01-01 02:00:00发生了信号质量下降故障。
3,在2021-01-01 03:00:00，设备9发生了什么故障？,设备9在2021-01-01 03:00:00发生了信号质量下降故障。
4,在2021-01-01 04:00:00，设备4发生了什么故障？,设备4在2021-01-01 04:00:00发生了网络中断故障。
5,在2021-01-01 05:00:00，设备18发生了什么故障？,设备18在2021-01-01 05:00:00发生了信号质量下降故障。
6,在2021-01-01 06:00:00，设备1发生了什么故障？,设备1在2021-01-01 06:00:00发生了连接丢失故障。
7,在2021-01-01 07:00:00，设备7发生了什么故障？,设备7在2021-01-01 07:00:00发生了信号质量下降故障。
8,在2021-01-01 08:00:00，设备15发生了什么故障？,设备15在2021-01-01 08:00:00发生了硬件故障故障。
9,在2021-01-01 09:00:00，设备16发生了什么故障？,设备16在2021-01-01 09:00:00发生了信号质量下降故障。
10,在2021-01-01 10:00:00，设备14发生了什么故障？,设备14在2021-01-01 10:00:00发生了信号质量下降故障。
11,在2021-01-01 11:00:00，设备12发生了什么故障？,设备12在2021-01-01 11:00:00发生了网络中断故障。
12,在2021-01-01 12:00:00，设备18发生了什么故障？,设备18在2021-01-01 12:00:00发生了硬件故障故障。
13,在2021-01-01 13:00:00，设备10发生了什么故障？,设备10在2021-01-01 13:00:00发生了硬件故障故障。
14,在2021-01-01 14:00:00，设备8发生了什么故障？,设备8在2021-01-01 14:00:00发生了连接丢失故障。
15,在2021-01-01 15:00:00，设备11发生了什么故障？,设备11在2021-01-01 15:00:00发生了信号质量下降故障。
16,在2021-01-01 16:00:00，设备10发生了什么故障？,设备10在2021-01-01 16:00:00发生了网络中断故障。
17,在2021-01-01 17:00:00，设备4发生了什么故障？,设备4在2021-01-01 17:00:00发生了硬件故障故障。
18,在2021-01-01 18:00:00，设备11发生了什么故障？,设备11在2021-01-01 18:00:00发生了网络中断故障。
19,在2021-01-01 19:00:00，设备16发生了什么故障？,设备16在2021-01-01 19:00:00发生了网络中断故障。
20,在2021-01-01 20:00:00，设备9发生了什么故障？,设备9在2021-01-01 20:00:00发生了硬件故障故障。
21,在2021-01-01 21:00:00，设备16发生了什么故障？,设备16在2021-01-01 21:00:00发生了网络中断故障。
22,在2021-01-01 22:00:00，设备9发生了什么故障？,设备9在2021-01-01 22:00:00发生了硬件故障故障。
23,在2021-01-01 23:00:00，设备19发生了什么故障？,设备19在2021-01-01 23:00:00发生了硬件故障故障。
24,在2021-01-02 00:00:00，设备7发生了什么故障？,设备7在2021-01-02 00:00:00发生了网络中断故障。
25,在2021-01-02 01:00:00，设备6发生了什么故障？,设备6在2021-01-02 01:00:00发生了连接丢失故障。
26,在2021-01-02 02:00:00，设备8发生了什么故障？,设备8在2021-01-02 02:00:00发生了硬件故障故障。
27,在2021-01-02 03:00:00，设备7发生了什么故障？,设备7在2021-01-02 03:00:00发生了信号质量下降故障。
28,在2021-01-02 04:00:00，设备17发生了什么故障？,设备17在2021-01-02 04:00:00发生了硬件故障故障。
29,在2021-01-02 05:00:00，设备2发生了什么故障？,设备2在2021-01-02 05:00:00发生了信号质量下降故障。
30,在2021-01-02 06:00:00，设备4发生了什么故障？,设备4在2021-01-02 06:00:00发生了网络中断故障。
31,在2021-01-02 07:00:00，设备10发生了什么故障？,设备10在2021-01-02 07:00:00发生了网络中断故障。
32,在2021-01-02 08:00:00，设备16发生了什么故障？,设备16在2021-01-02 08:00:00发生了硬件故障故障。
33,在2021-01-02 09:00:00，设备19发生了什么故障？,设备19在2021-01-02 09:00:00发生了网络中断故障。
34,在2021-01-02 10:00:00，设备3发生了什么故障？,设备3在2021-01-02 10:00:00发生了信号质量下降故障。
35,在2021-01-02 11:00:00，设备5发生了什么故障？,设备5在2021-01-02 11:00:00发生了信号质量下降故障。
36,在2021-01-02 12:00:00，设备17发生了什么故障？,设备17在2021-01-02 12:00:00发生了连接丢失故障。
37,在2021-01-02 13:00:00，设备12发生了什么故障？,设备12在2021-01-02 13:00:00发生了硬件故障故障。
38,在2021-01-02 14:00:00，设备11发生了什么故障？,设备11在2021-01-02 14:00:00发生了连接丢失故障。
39,在2021-01-02 15:00:00，设备7发生了什么故障？,设备7在2021-01-02 15:00:00发生了连接丢失故障。
40,在2021-01-02 16:00:00，设备6发生了什么故障？,设备6在2021-01-02 16:00:00发生了网络中断故障。
41,在2021-01-02 17:00:00，设备2发生了什么故障？,设备2在2021-01-02 17:00:00发生了硬件故障故障。
42,在2021-01-02 18:00:00，设备17发生了什么故障？,设备17在2021-01-02 18:00:00发生了硬件故障故障。
43,在2021-01-02 19:00:00，设备19发生了什么故障？,设备19在2021-01-02 19:00:00发生了连接丢失故障。
44,在2021-01-02 20:00:00，设备1发生了什么故障？,设备1在2021-01-02 20:00:00发生了硬件故障故障。
45,在2021-01-02 21:00:00，设备6发生了什么故障？,设备6在2021-01-02 21:00:00发生了硬件故障故障。
46,在2021-01-02 22:00:00，设备16发生了什么故障？,设备16在2021-01-02 22:00:00发生了网络中断故障。
47,在2021-01-02 23:00:00，设备14发生了什么故障？,设备14在2021-01-02 23:00:00发生了信号质量下降故障。
48,在2021-01-03 00:00:00，设备6发生了什么故障？,设备6在2021-01-03 00:00:00发生了网络中断故障。
49,在2021-01-03 01:00:00，设备14发生了什么故障？,设备14在2021-01-03 01:00:00发生了连接丢失故障。
50,在2021-01-03 02:00:00，设备19发生了什么故障？,设备19在2021-01-03 02:00:00发生了硬件故障故障。
51,在2021-01-03 03:00:00，设备10发生了什么故障？,设备10在2021-01-03 03:00:00发生了连接丢失故障。
52,在2021-01-03 04:00:00，设备3发生了什么故障？,设备3在2021-01-03 04:00:00发生了信号质量下降故障。
53,在2021-01-03 05:00:00，设备12发生了什么故障？,设备12在2021-01-03 05:00:00发生了硬件故障故障。
54,在2021-01-03 06:00:00，设备1发生了什么故障？,设备1在2021-01-03 06:00:00发生了硬件故障故障。
55,在2021-01-03 07:00:00，设备7发生了什么故障？,设备7在2021-01-03 07:00:00发生了信号质量下降故障。
56,在2021-01-03 08:00:00，设备17发生了什么故障？,设备17在2021-01-03 08:00:00发生了网络中断故障。
57,在2021-01-03 09:00:00，设备3发生了什么故障？,设备3在2021-01-03 09:00:00发生了信号质量下降故障。
58,在2021-01-03 10:00:00，设备4发生了什么故障？,设备4在2021-01-03 10:00:00发生了硬件故障故障。
59,在2021-01-03 11:00:00，设备6发生了什么故障？,设备6在2021-01-03 11:00:00发生了连接丢失故障。
60,在2021-01-03 12:00:00，设备3发生了什么故障？,设备3在2021-01-03 12:00:00发生了连接丢失故障。
61,在2021-01-03 13:00:00，设备5发生了什么故障？,设备5在2021-01-03 13:00:00发生了信号质量下降故障。
62,在2021-01-03 14:00:00，设备13发生了什么故障？,设备13在2021-01-03 14:00:00发生了连接丢失故障。
63,在2021-01-03 15:00:00，设备5发生了什么故障？,设备5在2021-01-03 15:00:00发生了信号质量下降故障。
64,在2021-01-03 16:00:00，设备2发生了什么故障？,设备2在2021-01-03 16:00:00发生了网络中断故障。
65,在2021-01-03 17:00:00，设备11发生了什么故障？,设备11在2021-01-03 17:00:00发生了连接丢失故障。
66,在2021-01-03 18:00:00，设备2发生了什么故障？,设备2在2021-01-03 18:00:00发生了信号质量下降故障。
67,在2021-01-03 19:00:00，设备7发生了什么故障？,设备7在2021-01-03 19:00:00发生了信号质量下降故障。
68,在2021-01-03 20:00:00，设备18发生了什么故障？,设备18在2021-01-03 20:00:00发生了硬件故障故障。
69,在2021-01-03 21:00:00，设备13发生了什么故障？,设备13在2021-01-03 21:00:00发生了连接丢失故障。
70,在2021-01-03 22:00:00，设备1发生了什么故障？,设备1在2021-01-03 22:00:00发生了信号质量下降故障。
71,在2021-01-03 23:00:00，设备14发生了什么故障？,设备14在2021-01-03 23:00:00发生了信号质量下降故障。
72,在2021-01-04 00:00:00，设备1发生了什么故障？,设备1在2021-01-04 00:00:00发生了连接丢失故障。
73,在2021-01-04 01:00:00，设备14发生了什么故障？,设备14在2021-01-04 01:00:00发生了信号质量下降故障。
74,在2021-01-04 02:00:00，设备17发生了什么故障？,设备17在2021-01-04 02:00:00发生了硬件故障故障。
75,在2021-01-04 03:00:00，设备16发生了什么故障？,设备16在2021-01-04 03:00:00发生了网络中断故障。
76,在2021-01-04 04:00:00，设备2发生了什么故障？,设备2在2021-01-04 04:00:00发生了网络中断故障。
77,在2021-01-04 05:00:00，设备9发生了什么故障？,设备9在2021-01-04 05:00:00发生了信号质量下降故障。
78,在2021-01-04 06:00:00，设备8发生了什么故障？,设备8在2021-01-04 06:00:00发生了信号质量下降故障。
79,在2021-01-04 07:00:00，设备11发生了什么故障？,设备11在2021-01-04 07:00:00发生了连接丢失故障。
80,在2021-01-04 08:00:00，设备2发生了什么故障？,设备2在2021-01-04 08:00:00发生了网络中断故障。
81,在2021-01-04 09:00:00，设备5发生了什么故障？,设备5在2021-01-04 09:00:00发生了信号质量下降故障。
82,在2021-01-04 10:00:00，设备2发生了什么故障？,设备2在2021-01-04 10:00:00发生了信号质量下降故障。
83,在2021-01-04 11:00:00，设备4发生了什么故障？,设备4在2021-01-04 11:00:00发生了网络中断故障。
84,在2021-01-04 12:00:00，设备8发生了什么故障？,设备8在2021-01-04 12:00:00发生了网络中断故障。
85,在2021-01-04 13:00:00，设备1发生了什么故障？,设备1在2021-01-04 13:00:00发生了网络中断故障。
86,在2021-01-04 14:00:00，设备10发生了什么故障？,设备10在2021-01-04 14:00:00发生了硬件故障故障。
87,在2021-01-04 15:00:00，设备12发生了什么故障？,设备12在2021-01-04 15:00:00发生了连接丢失故障。
88,在2021-01-04 16:00:00，设备9发生了什么故障？,设备9在2021-01-04 16:00:00发生了信号质量下降故障。
89,在2021-01-04 17:00:00，设备7发生了什么故障？,设备7在2021-01-04 17:00:00发生了信号质量下降故障。
90,在2021-01-04 18:00:00，设备12发生了什么故障？,设备12在2021-01-04 18:00:00发生了连接丢失故障。
91,在2021-01-04 19:00:00，设备19发生了什么故障？,设备19在2021-01-04 19:00:00发生了连接丢失故障。
92,在2021-01-04 20:00:00，设备6发生了什么故障？,设备6在2021-01-04 20:00:00发生了网络中断故障。
93,在2021-01-04 21:00:00，设备9发生了什么故障？,设备9在2021-01-04 21:00:00发生了硬件故障故障。
94,在2021-01-04 22:00:00，设备16发生了什么故障？,设备16在2021-01-04 22:00:00发生了连接丢失故障。
95,在2021-01-04 23:00:00，设备3发生了什么故障？,设备3在2021-01-04 23:00:00发生了硬件故障故障。
96,在2021-01-05 00:00:00，设备10发生了什么故障？,设备10在2021-01-05 00:00:00发生了硬件故障故障。
97,在2021-01-05 01:00:00，设备13发生了什么故障？,设备13在2021-01-05 01:00:00发生了网络中断故障。
98,在2021-01-05 02:00:00，设备1发生了什么故障？,设备1在2021-01-05 02:00:00发生了连接丢失故障。
99,在2021-01-05 03:00:00，设备4发生了什么故障？,设备4在2021-01-05 03:00:00发生了硬件故障故障。
100,在2021-01-05 04:00:00，设备4发生了什么故障？,设备4在2021-01-05 04:00:00发生了硬件故障故障。
101,在2021-01-05 05:00:00，设备8发生了什么故障？,设备8在2021-01-05 05:00:00发生了信号质量下降故障。
102,在2021-01-05 06:00:00，设备10发生了什么故障？,设备10在2021-01-05 06:00:00发生了信号质量下降故障。
103,在2021-01-05 07:00:00，设备8发生了什么故障？,设备8在2021-01-05 07:00:00发生了信号质量下降故障。
104,在2021-01-05 08:00:00，设备19发生了什么故障？,设备19在2021-01-05 08:00:00发生了网络中断故障。
105,在2021-01-05 09:00:00，设备13发生了什么故障？,设备13在2021-01-05 09:00:00发生了连接丢失故障。
106,在2021-01-05 10:00:00，设备19发生了什么故障？,设备19在2021-01-05 10:00:00发生了硬件故障故障。
107,在2021-01-05 11:00:00，设备19发生了什么故障？,设备19在2021-01-05 11:00:00发生了网络中断故障。
108,在2021-01-05 12:00:00，设备15发生了什么故障？,设备15在2021-01-05 12:00:00发生了网络中断故障。
109,在2021-01-05 13:00:00，设备8发生了什么故障？,设备8在2021-01-05 13:00:00发生了信号质量下降故障。
110,在2021-01-05 14:00:00，设备18发生了什么故障？,设备18在2021-01-05 14:00:00发生了信号质量下降故障。
111,在2021-01-05 15:00:00，设备14发生了什么故障？,设备14在2021-01-05 15:00:00发生了网络中断故障。
112,在2021-01-05 16:00:00，设备7发生了什么故障？,设备7在2021-01-05 16:00:00发生了信号质量下降故障。
113,在2021-01-05 17:00:00，设备9发生了什么故障？,设备9在2021-01-05 17:00:00发生了信号质量下降故障。
114,在2021-01-05 18:00:00，设备7发生了什么故障？,设备7在2021-01-05 18:00:00发生了信号质量下降故障。
115,在2021-01-05 19:00:00，设备8发生了什么故障？,设备8在2021-01-05 19:00:00发生了硬件故障故障。
116,在2021-01-05 20:00:00，设备2发生了什么故障？,设备2在2021-01-05 20:00:00发生了硬件故障故障。
117,在2021-01-05 21:00:00，设备14发生了什么故障？,设备14在2021-01-05 21:00:00发生了信号质量下降故障。
118,在2021-01-05 22:00:00，设备12发生了什么故障？,设备12在2021-01-05 22:00:00发生了信号质量下降故障。
119,在2021-01-05 23:00:00，设备18发生了什么故障？,设备18在2021-01-05 23:00:00发生了信号质量下降故障。
120,在2021-01-06 00:00:00，设备15发生了什么故障？,设备15在2021-01-06 00:00:00发生了连接丢失故障。
121,在2021-01-06 01:00:00，设备11发生了什么故障？,设备11在2021-01-06 01:00:00发生了硬件故障故障。
122,在2021-01-06 02:00:00，设备6发生了什么故障？,设备6在2021-01-06 02:00:00发生了信号质量下降故障。
123,在2021-01-06 03:00:00，设备3发生了什么故障？,设备3在2021-01-06 03:00:00发生了硬件故障故障。
124,在2021-01-06 04:00:00，设备12发生了什么故障？,设备12在2021-01-06 04:00:00发生了网络中断故障。
125,在2021-01-06 05:00:00，设备10发生了什么故障？,设备10在2021-01-06 05:00:00发生了网络中断故障。
126,在2021-01-06 06:00:00，设备13发生了什么故障？,设备13在2021-01-06 06:00:00发生了硬件故障故障。
127,在2021-01-06 07:00:00，设备17发生了什么故障？,设备17在2021-01-06 07:00:00发生了网络中断故障。
128,在2021-01-06 08:00:00，设备9发生了什么故障？,设备9在2021-01-06 08:00:00发生了硬件故障故障。
129,在2021-01-06 09:00:00，设备8发生了什么故障？,设备8在2021-01-06 09:00:00发生了网络中断故障。
130,在2021-01-06 10:00:00，设备13发生了什么故障？,设备13在2021-01-06 10:00:00发生了连接丢失故障。
131,在2021-01-06 11:00:00，设备6发生了什么故障？,设备6在2021-01-06 11:00:00发生了网络中断故障。
132,在2021-01-06 12:00:00，设备7发生了什么故障？,设备7在2021-01-06 12:00:00发生了信号质量下降故障。
133,在2021-01-06 13:00:00，设备3发生了什么故障？,设备3在2021-01-06 13:00:00发生了连接丢失故障。
134,在2021-01-06 14:00:00，设备11发生了什么故障？,设备11在2021-01-06 14:00:00发生了网络中断故障。
135,在2021-01-06 15:00:00，设备10发生了什么故障？,设备10在2021-01-06 15:00:00发生了信号质量下降故障。
136,在2021-01-06 16:00:00，设备15发生了什么故障？,设备15在2021-01-06 16:00:00发生了网络中断故障。
137,在2021-01-06 17:00:00，设备13发生了什么故障？,设备13在2021-01-06 17:00:00发生了连接丢失故障。
138,在2021-01-06 18:00:00，设备10发生了什么故障？,设备10在2021-01-06 18:00:00发生了连接丢失故障。
139,在2021-01-06 19:00:00，设备10发生了什么故障？,设备10在2021-01-06 19:00:00发生了硬件故障故障。
140,在2021-01-06 20:00:00，设备1发生了什么故障？,设备1在2021-01-06 20:00:00发生了网络中断故障。
141,在2021-01-06 21:00:00，设备2发生了什么故障？,设备2在2021-01-06 21:00:00发生了网络中断故障。
142,在2021-01-06 22:00:00，设备14发生了什么故障？,设备14在2021-01-06 22:00:00发生了网络中断故障。
143,在2021-01-06 23:00:00，设备1发生了什么故障？,设备1在2021-01-06 23:00:00发生了网络中断故障。
144,在2021-01-07 00:00:00，设备13发生了什么故障？,设备13在2021-01-07 00:00:00发生了连接丢失故障。
145,在2021-01-07 01:00:00，设备13发生了什么故障？,设备13在2021-01-07 01:00:00发生了连接丢失故障。
146,在2021-01-07 02:00:00，设备7发生了什么故障？,设备7在2021-01-07 02:00:00发生了连接丢失故障。
147,在2021-01-07 03:00:00，设备9发生了什么故障？,设备9在2021-01-07 03:00:00发生了硬件故障故障。
148,在2021-01-07 04:00:00，设备15发生了什么故障？,设备15在2021-01-07 04:00:00发生了信号质量下降故障。
149,在2021-01-07 05:00:00，设备8发生了什么故障？,设备8在2021-01-07 05:00:00发生了网络中断故障。
150,在2021-01-07 06:00:00，设备2发生了什么故障？,设备2在2021-01-07 06:00:00发生了硬件故障故障。
151,在2021-01-07 07:00:00，设备5发生了什么故障？,设备5在2021-01-07 07:00:00发生了硬件故障故障。
152,在2021-01-07 08:00:00，设备9发生了什么故障？,设备9在2021-01-07 08:00:00发生了网络中断故障。
153,在2021-01-07 09:00:00，设备11发生了什么故障？,设备11在2021-01-07 09:00:00发生了连接丢失故障。
154,在2021-01-07 10:00:00，设备5发生了什么故障？,设备5在2021-01-07 10:00:00发生了连接丢失故障。
155,在2021-01-07 11:00:00，设备4发生了什么故障？,设备4在2021-01-07 11:00:00发生了连接丢失故障。
156,在2021-01-07 12:00:00，设备3发生了什么故障？,设备3在2021-01-07 12:00:00发生了信号质量下降故障。
157,在2021-01-07 13:00:00，设备10发生了什么故障？,设备10在2021-01-07 13:00:00发生了硬件故障故障。
158,在2021-01-07 14:00:00，设备8发生了什么故障？,设备8在2021-01-07 14:00:00发生了信号质量下降故障。
159,在2021-01-07 15:00:00，设备10发生了什么故障？,设备10在2021-01-07 15:00:00发生了信号质量下降故障。
160,在2021-01-07 16:00:00，设备6发生了什么故障？,设备6在2021-01-07 16:00:00发生了信号质量下降故障。
161,在2021-01-07 17:00:00，设备1发生了什么故障？,设备1在2021-01-07 17:00:00发生了网络中断故障。
162,在2021-01-07 18:00:00，设备11发生了什么故障？,设备11在2021-01-07 18:00:00发生了信号质量下降故障。
163,在2021-01-07 19:00:00，设备18发生了什么故障？,设备18在2021-01-07 19:00:00发生了硬件故障故障。
164,在2021-01-07 20:00:00，设备4发生了什么故障？,设备4在2021-01-07 20:00:00发生了连接丢失故障。
165,在2021-01-07 21:00:00，设备15发生了什么故障？,设备15在2021-01-07 21:00:00发生了连接丢失故障。
166,在2021-01-07 22:00:00，设备19发生了什么故障？,设备19在2021-01-07 22:00:00发生了硬件故障故障。
167,在2021-01-07 23:00:00，设备12发生了什么故障？,设备12在2021-01-07 23:00:00发生了硬件故障故障。
168,在2021-01-08 00:00:00，设备12发生了什么故障？,设备12在2021-01-08 00:00:00发生了连接丢失故障。
169,在2021-01-08 01:00:00，设备5发生了什么故障？,设备5在2021-01-08 01:00:00发生了网络中断故障。
170,在2021-01-08 02:00:00，设备7发生了什么故障？,设备7在2021-01-08 02:00:00发生了网络中断故障。
171,在2021-01-08 03:00:00，设备12发生了什么故障？,设备12在2021-01-08 03:00:00发生了硬件故障故障。
172,在2021-01-08 04:00:00，设备17发生了什么故障？,设备17在2021-01-08 04:00:00发生了硬件故障故障。
173,在2021-01-08 05:00:00，设备3发生了什么故障？,设备3在2021-01-08 05:00:00发生了连接丢失故障。
174,在2021-01-08 06:00:00，设备14发生了什么故障？,设备14在2021-01-08 06:00:00发生了信号质量下降故障。
175,在2021-01-08 07:00:00，设备8发生了什么故障？,设备8在2021-01-08 07:00:00发生了硬件故障故障。
176,在2021-01-08 08:00:00，设备7发生了什么故障？,设备7在2021-01-08 08:00:00发生了网络中断故障。
177,在2021-01-08 09:00:00，设备16发生了什么故障？,设备16在2021-01-08 09:00:00发生了网络中断故障。
178,在2021-01-08 10:00:00，设备3发生了什么故障？,设备3在2021-01-08 10:00:00发生了信号质量下降故障。
179,在2021-01-08 11:00:00，设备14发生了什么故障？,设备14在2021-01-08 11:00:00发生了硬件故障故障。
180,在2021-01-08 12:00:00，设备3发生了什么故障？,设备3在2021-01-08 12:00:00发生了硬件故障故障。
181,在2021-01-08 13:00:00，设备14发生了什么故障？,设备14在2021-01-08 13:00:00发生了连接丢失故障。
182,在2021-01-08 14:00:00，设备6发生了什么故障？,设备6在2021-01-08 14:00:00发生了网络中断故障。
183,在2021-01-08 15:00:00，设备8发生了什么故障？,设备8在2021-01-08 15:00:00发生了硬件故障故障。
184,在2021-01-08 16:00:00，设备4发生了什么故障？,设备4在2021-01-08 16:00:00发生了信号质量下降故障。
185,在2021-01-08 17:00:00，设备2发生了什么故障？,设备2在2021-01-08 17:00:00发生了硬件故障故障。
186,在2021-01-08 18:00:00，设备13发生了什么故障？,设备13在2021-01-08 18:00:00发生了信号质量下降故障。
187,在2021-01-08 19:00:00，设备12发生了什么故障？,设备12在2021-01-08 19:00:00发生了硬件故障故障。
188,在2021-01-08 20:00:00，设备15发生了什么故障？,设备15在2021-01-08 20:00:00发生了硬件故障故障。
189,在2021-01-08 21:00:00，设备1发生了什么故障？,设备1在2021-01-08 21:00:00发生了信号质量下降故障。
190,在2021-01-08 22:00:00，设备5发生了什么故障？,设备5在2021-01-08 22:00:00发生了信号质量下降故障。
191,在2021-01-08 23:00:00，设备19发生了什么故障？,设备19在2021-01-08 23:00:00发生了网络中断故障。
192,在2021-01-09 00:00:00，设备4发生了什么故障？,设备4在2021-01-09 00:00:00发生了信号质量下降故障。
193,在2021-01-09 01:00:00，设备6发生了什么故障？,设备6在2021-01-09 01:00:00发生了网络中断故障。
194,在2021-01-09 02:00:00，设备11发生了什么故障？,设备11在2021-01-09 02:00:00发生了信号质量下降故障。
195,在2021-01-09 03:00:00，设备8发生了什么故障？,设备8在2021-01-09 03:00:00发生了硬件故障故障。
196,在2021-01-09 04:00:00，设备12发生了什么故障？,设备12在2021-01-09 04:00:00发生了网络中断故障。
197,在2021-01-09 05:00:00，设备15发生了什么故障？,设备15在2021-01-09 05:00:00发生了网络中断故障。
198,在2021-01-09 06:00:00，设备9发生了什么故障？,设备9在2021-01-09 06:00:00发生了信号质量下降故障。
199,在2021-01-09 07:00:00，设备17发生了什么故障？,设备17在2021-01-09 07:00:00发生了网络中断故障。
