timestamp,fault_type,recovery_time
2021-01-01 00:30:00,信号质量下降,37
2021-01-01 01:30:00,连接丢失,45
2021-01-01 02:30:00,网络中断,54
2021-01-01 03:30:00,连接丢失,17
2021-01-01 04:30:00,连接丢失,59
2021-01-01 05:30:00,连接丢失,23
2021-01-01 06:30:00,信号质量下降,4
2021-01-01 07:30:00,硬件故障,35
2021-01-01 08:30:00,网络中断,33
2021-01-01 09:30:00,硬件故障,54
2021-01-01 10:30:00,网络中断,25
2021-01-01 11:30:00,信号质量下降,6
2021-01-01 12:30:00,硬件故障,30
2021-01-01 13:30:00,信号质量下降,1
2021-01-01 14:30:00,信号质量下降,36
2021-01-01 15:30:00,硬件故障,23
2021-01-01 16:30:00,连接丢失,16
2021-01-01 17:30:00,信号质量下降,56
2021-01-01 18:30:00,硬件故障,41
2021-01-01 19:30:00,连接丢失,33
2021-01-01 20:30:00,信号质量下降,49
2021-01-01 21:30:00,硬件故障,19
2021-01-01 22:30:00,硬件故障,52
2021-01-01 23:30:00,信号质量下降,45
2021-01-02 00:30:00,网络中断,7
2021-01-02 01:30:00,网络中断,19
2021-01-02 02:30:00,网络中断,48
2021-01-02 03:30:00,连接丢失,54
2021-01-02 04:30:00,信号质量下降,41
2021-01-02 05:30:00,连接丢失,10
2021-01-02 06:30:00,连接丢失,4
2021-01-02 07:30:00,连接丢失,42
2021-01-02 08:30:00,硬件故障,1
2021-01-02 09:30:00,网络中断,49
2021-01-02 10:30:00,网络中断,33
2021-01-02 11:30:00,信号质量下降,50
2021-01-02 12:30:00,硬件故障,28
2021-01-02 13:30:00,连接丢失,33
2021-01-02 14:30:00,网络中断,55
2021-01-02 15:30:00,连接丢失,13
2021-01-02 16:30:00,信号质量下降,43
2021-01-02 17:30:00,网络中断,19
2021-01-02 18:30:00,信号质量下降,42
2021-01-02 19:30:00,信号质量下降,41
2021-01-02 20:30:00,硬件故障,9
2021-01-02 21:30:00,信号质量下降,15
2021-01-02 22:30:00,信号质量下降,38
2021-01-02 23:30:00,网络中断,36
2021-01-03 00:30:00,硬件故障,13
2021-01-03 01:30:00,网络中断,49
2021-01-03 02:30:00,硬件故障,37
2021-01-03 03:30:00,信号质量下降,29
2021-01-03 04:30:00,网络中断,5
2021-01-03 05:30:00,信号质量下降,35
2021-01-03 06:30:00,信号质量下降,38
2021-01-03 07:30:00,网络中断,58
2021-01-03 08:30:00,网络中断,26
2021-01-03 09:30:00,网络中断,14
2021-01-03 10:30:00,硬件故障,5
2021-01-03 11:30:00,连接丢失,32
2021-01-03 12:30:00,连接丢失,57
2021-01-03 13:30:00,硬件故障,46
2021-01-03 14:30:00,网络中断,17
2021-01-03 15:30:00,硬件故障,3
2021-01-03 16:30:00,连接丢失,39
2021-01-03 17:30:00,信号质量下降,47
2021-01-03 18:30:00,信号质量下降,17
2021-01-03 19:30:00,硬件故障,8
2021-01-03 20:30:00,网络中断,19
2021-01-03 21:30:00,信号质量下降,52
2021-01-03 22:30:00,连接丢失,35
2021-01-03 23:30:00,信号质量下降,39
2021-01-04 00:30:00,信号质量下降,55
2021-01-04 01:30:00,连接丢失,48
2021-01-04 02:30:00,信号质量下降,42
2021-01-04 03:30:00,连接丢失,27
2021-01-04 04:30:00,硬件故障,10
2021-01-04 05:30:00,连接丢失,56
2021-01-04 06:30:00,网络中断,31
2021-01-04 07:30:00,连接丢失,21
2021-01-04 08:30:00,信号质量下降,28
2021-01-04 09:30:00,硬件故障,57
2021-01-04 10:30:00,网络中断,2
2021-01-04 11:30:00,硬件故障,6
2021-01-04 12:30:00,网络中断,31
2021-01-04 13:30:00,连接丢失,2
2021-01-04 14:30:00,硬件故障,25
2021-01-04 15:30:00,连接丢失,51
2021-01-04 16:30:00,硬件故障,33
2021-01-04 17:30:00,信号质量下降,16
2021-01-04 18:30:00,连接丢失,35
2021-01-04 19:30:00,信号质量下降,48
2021-01-04 20:30:00,网络中断,2
2021-01-04 21:30:00,信号质量下降,29
2021-01-04 22:30:00,硬件故障,44
2021-01-04 23:30:00,网络中断,47
2021-01-05 00:30:00,连接丢失,37
2021-01-05 01:30:00,信号质量下降,2
2021-01-05 02:30:00,连接丢失,11
2021-01-05 03:30:00,网络中断,41
2021-01-05 04:30:00,硬件故障,26
2021-01-05 05:30:00,信号质量下降,10
2021-01-05 06:30:00,网络中断,5
2021-01-05 07:30:00,硬件故障,10
2021-01-05 08:30:00,连接丢失,36
2021-01-05 09:30:00,硬件故障,12
2021-01-05 10:30:00,连接丢失,7
2021-01-05 11:30:00,连接丢失,28
2021-01-05 12:30:00,硬件故障,44
2021-01-05 13:30:00,连接丢失,47
2021-01-05 14:30:00,网络中断,4
2021-01-05 15:30:00,网络中断,51
2021-01-05 16:30:00,硬件故障,13
2021-01-05 17:30:00,连接丢失,24
2021-01-05 18:30:00,连接丢失,39
2021-01-05 19:30:00,硬件故障,16
2021-01-05 20:30:00,信号质量下降,37
2021-01-05 21:30:00,连接丢失,45
2021-01-05 22:30:00,信号质量下降,40
2021-01-05 23:30:00,硬件故障,19
2021-01-06 00:30:00,信号质量下降,24
2021-01-06 01:30:00,信号质量下降,3
2021-01-06 02:30:00,连接丢失,46
2021-01-06 03:30:00,连接丢失,22
2021-01-06 04:30:00,信号质量下降,37
2021-01-06 05:30:00,连接丢失,2
2021-01-06 06:30:00,硬件故障,54
2021-01-06 07:30:00,信号质量下降,52
2021-01-06 08:30:00,网络中断,30
2021-01-06 09:30:00,硬件故障,37
2021-01-06 10:30:00,连接丢失,9
2021-01-06 11:30:00,连接丢失,2
2021-01-06 12:30:00,硬件故障,15
2021-01-06 13:30:00,连接丢失,55
2021-01-06 14:30:00,信号质量下降,28
2021-01-06 15:30:00,连接丢失,50
2021-01-06 16:30:00,连接丢失,38
2021-01-06 17:30:00,网络中断,43
2021-01-06 18:30:00,信号质量下降,40
2021-01-06 19:30:00,网络中断,10
2021-01-06 20:30:00,连接丢失,21
2021-01-06 21:30:00,硬件故障,48
2021-01-06 22:30:00,连接丢失,27
2021-01-06 23:30:00,信号质量下降,20
2021-01-07 00:30:00,硬件故障,56
2021-01-07 01:30:00,信号质量下降,15
2021-01-07 02:30:00,信号质量下降,40
2021-01-07 03:30:00,信号质量下降,52
2021-01-07 04:30:00,连接丢失,41
2021-01-07 05:30:00,信号质量下降,11
2021-01-07 06:30:00,连接丢失,31
2021-01-07 07:30:00,连接丢失,2
2021-01-07 08:30:00,硬件故障,16
2021-01-07 09:30:00,信号质量下降,45
2021-01-07 10:30:00,连接丢失,41
2021-01-07 11:30:00,信号质量下降,23
2021-01-07 12:30:00,信号质量下降,40
2021-01-07 13:30:00,信号质量下降,37
2021-01-07 14:30:00,硬件故障,46
2021-01-07 15:30:00,信号质量下降,7
2021-01-07 16:30:00,网络中断,4
2021-01-07 17:30:00,硬件故障,56
2021-01-07 18:30:00,网络中断,33
2021-01-07 19:30:00,连接丢失,27
2021-01-07 20:30:00,网络中断,17
2021-01-07 21:30:00,硬件故障,17
2021-01-07 22:30:00,网络中断,45
2021-01-07 23:30:00,硬件故障,53
2021-01-08 00:30:00,信号质量下降,21
2021-01-08 01:30:00,硬件故障,50
2021-01-08 02:30:00,硬件故障,47
2021-01-08 03:30:00,硬件故障,53
2021-01-08 04:30:00,硬件故障,47
2021-01-08 05:30:00,网络中断,42
2021-01-08 06:30:00,连接丢失,30
2021-01-08 07:30:00,连接丢失,15
2021-01-08 08:30:00,网络中断,59
2021-01-08 09:30:00,硬件故障,12
2021-01-08 10:30:00,硬件故障,8
2021-01-08 11:30:00,网络中断,9
2021-01-08 12:30:00,信号质量下降,7
2021-01-08 13:30:00,连接丢失,29
2021-01-08 14:30:00,网络中断,23
2021-01-08 15:30:00,硬件故障,11
2021-01-08 16:30:00,网络中断,58
2021-01-08 17:30:00,连接丢失,57
2021-01-08 18:30:00,硬件故障,36
2021-01-08 19:30:00,连接丢失,30
2021-01-08 20:30:00,连接丢失,47
2021-01-08 21:30:00,网络中断,47
2021-01-08 22:30:00,网络中断,13
2021-01-08 23:30:00,连接丢失,44
2021-01-09 00:30:00,网络中断,41
2021-01-09 01:30:00,网络中断,18
2021-01-09 02:30:00,网络中断,33
2021-01-09 03:30:00,硬件故障,5
2021-01-09 04:30:00,网络中断,27
2021-01-09 05:30:00,连接丢失,52
2021-01-09 06:30:00,连接丢失,28
2021-01-09 07:30:00,连接丢失,29
